,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
24.958715158583363,AT1G71030,AT4G38960,AT5G14270,AT4G22570,AT1G05710,AT1G20696,AT2G47750,AT5G15850,AT2G31380,AT3G14415,AT5G65720,AT4G12060,AT5G54510,AT1G18060,AT1G17455,AT4G35783,AT3G19700,AT2G38120,AT1G17360,AT3G56190,AT3G07310,AT1G71970,,,,,,,,,,
24.228446719960296,AT5G59480,AT1G21500,AT2G40400,AT4G30550,AT1G59830,AT1G20696,AT1G37130,AT3G50820,AT4G23630,AT2G39730,AT2G29310,AT2G33500,AT1G48100,AT2G06925,AT5G53760,AT1G71030,AT4G16890,AT5G66570,AT5G52450,AT3G19700,AT4G35830,AT5G54510,AT4G19450,AT5G62430,AT4G27450,AT4G25890,AT1G64770,,,,,
23.722869369798797,AT2G30570,AT1G60590,AT5G43440,AT5G64840,AT5G62280,AT4G35310,AT4G03260,AT5G47560,AT4G12060,AT1G06680,AT4G04020,AT1G37130,AT4G26130,AT1G10370,AT2G31380,AT1G17050,AT4G25660,,,,,,,,,,,,,,,
33.071978911561985,AT1G57990,AT4G36360,AT2G31380,AT5G42820,AT4G26130,AT3G14770,AT5G14120,AT3G23210,AT4G00830,AT1G53090,AT4G16880,AT3G56650,,,,,,,,,,,,,,,,,,,,
22.236592179247047,AT5G02810,AT3G09600,AT1G06110,AT4G35830,AT5G64860,AT2G41820,AT5G07350,AT5G59480,AT4G19450,AT1G03130,AT3G11900,AT3G04910,AT5G14200,AT2G39730,AT4G21926,AT5G40500,AT2G24150,AT5G50950,AT3G55040,AT4G18710,AT3G54390,AT2G19650,AT5G62280,AT3G08730,AT2G38670,AT2G40490,AT5G14780,,,,,
26.365039677228133,AT1G64500,AT2G37180,AT5G42360,AT4G12070,AT5G37310,AT4G26130,AT1G21500,AT2G28105,AT2G38610,AT5G66740,AT3G15840,AT3G14770,AT4G19390,AT5G66920,AT4G00830,AT3G26280,AT2G19650,AT5G65910,,,,,,,,,,,,,,
22.221397997390245,AT4G26130,AT1G37130,AT1G20696,AT1G30210,AT4G38960,AT1G06002,AT5G16400,AT5G52570,AT4G12070,AT1G06110,AT1G01190,AT1G59830,AT4G36040,AT1G03130,AT5G15850,AT1G13650,AT1G56220,AT1G17050,AT4G35450,AT2G30570,AT4G19450,AT1G59900,AT5G14320,AT2G26900,AT1G64970,AT4G12060,AT1G71030,AT3G17609,AT3G13222,AT2G35660,AT1G05710,AT1G55670
24.916480964205835,AT2G38820,AT2G19650,AT4G19390,AT5G01530,AT4G26130,AT2G18230,AT5G02150,AT3G54390,AT4G38960,AT1G41830,AT1G59900,AT1G06040,AT5G59480,,,,,,,,,,,,,,,,,,,
28.773903167039155,AT1G57990,AT2G21320,AT2G23840,AT1G21750,AT1G06002,AT1G07180,AT4G38960,AT2G30570,AT1G48100,AT4G19860,AT4G09640,,,,,,,,,,,,,,,,,,,,,
20.49228854271664,AT2G43010,AT5G65720,AT3G02570,AT5G15850,AT4G12800,AT4G17090,AT5G64860,AT2G40400,AT1G59830,AT1G73030,AT1G10370,AT1G32790,AT5G23010,AT5G66570,AT5G37310,AT2G23840,AT1G37130,AT2G38210,AT5G47560,AT2G37180,AT3G07350,AT1G01910,AT1G07010,AT4G25360,AT5G42250,,,,,,,
21.553897653291504,AT5G14200,AT1G64500,AT3G07310,AT3G09840,AT1G32080,AT4G12800,AT3G09600,AT3G11900,AT1G30210,AT4G28660,AT3G11800,AT1G68238,AT1G03740,AT1G14700,AT5G02150,AT3G58990,AT1G06680,AT4G00830,AT3G56340,AT4G26850,,,,,,,,,,,,
24.39262137146904,AT5G57660,AT3G46970,AT5G12150,AT2G21320,AT4G39940,AT5G40500,AT3G08730,AT4G23630,AT3G59410,AT3G02570,AT5G47310,AT1G79700,AT4G21926,AT4G03260,AT5G15850,AT1G57990,AT1G59830,AT1G60590,AT4G30550,AT3G01550,,,,,,,,,,,,
