CycID,phase
AT1G01100,4
AT1G01120,4
AT1G01140,4
AT1G01150,4
AT1G01190,4
AT1G01450,4
AT1G01453,4
AT1G01490,4
AT1G01510,4
AT1G01610,4
AT1G01660,4
AT1G02280,4
AT1G02380,4
AT1G02405,4
AT1G02430,4
AT1G02630,4
AT1G02780,4
AT1G02790,4
AT1G02952,4
AT1G03000,4
AT1G03130,4
AT1G03200,4
AT1G03360,4
AT1G03590,4
AT1G03710,4
AT1G03800,4
AT1G03860,4
AT1G04190,4
AT1G04220,4
AT1G04230,4
AT1G04250,4
AT1G04270,4
AT1G04490,4
AT1G04530,4
AT1G04625,4
AT1G04778,4
AT1G04840,4
AT1G05320,4
AT1G05500,4
AT1G05530,4
AT1G05550,4
AT1G06050,4
AT1G06360,4
AT1G06570,4
AT1G06660,4
AT1G07090,4
AT1G07260,4
AT1G07360,4
AT1G07390,4
AT1G07450,4
AT1G07476,4
AT1G07590,4
AT1G07710,4
AT1G07830,4
AT1G07930,4
AT1G07940,4
AT1G08080,4
AT1G08120,4
AT1G08300,4
AT1G08360,4
AT1G08400,4
AT1G08520,4
AT1G08560,4
AT1G08640,4
AT1G08860,4
AT1G09080,4
AT1G09155,4
AT1G09180,4
AT1G09230,4
AT1G09360,4
AT1G09520,4
AT1G09590,4
AT1G09640,4
AT1G09690,4
AT1G10020,4
AT1G10110,4
AT1G10300,4
AT1G10460,4
AT1G10800,4
AT1G10900,4
AT1G11320,4
AT1G11475,4
AT1G11572,4
AT1G12020,4
AT1G12240,4
AT1G12260,4
AT1G12294,4
AT1G12500,4
AT1G12600,4
AT1G12672,4
AT1G12900,4
AT1G13080,4
AT1G13140,4
AT1G13150,4
AT1G13245,4
AT1G13430,4
AT1G13500,4
AT1G13650,4
AT1G13680,4
AT1G13710,4
AT1G13820,4
AT1G13830,4
AT1G14071,4
AT1G14100,4
AT1G14120,4
AT1G14260,4
AT1G14280,4
AT1G14300,4
AT1G14320,4
AT1G14600,4
AT1G14650,4
AT1G14686,4
AT1G14700,4
AT1G14760,4
AT1G14770,4
AT1G14780,4
AT1G14810,4
AT1G15180,4
AT1G15250,4
AT1G15340,4
AT1G15360,4
AT1G15390,4
AT1G15405,4
AT1G15480,4
AT1G15580,4
AT1G15640,4
AT1G15772,4
AT1G15825,4
AT1G15840,4
AT1G15870,4
AT1G15930,4
AT1G15950,4
AT1G16225,4
AT1G16390,4
AT1G16410,4
AT1G16510,4
AT1G16515,4
AT1G16770,4
AT1G16910,4
AT1G17030,4
AT1G17240,4
AT1G17615,4
AT1G17820,4
AT1G17880,4
AT1G17990,4
AT1G18000,4
AT1G18020,4
AT1G18080,4
AT1G18300,4
AT1G18450,4
AT1G18460,4
AT1G18500,4
AT1G18620,4
AT1G18773,4
AT1G18810,4
AT1G19000,4
AT1G19190,4
AT1G19350,4
AT1G19410,4
AT1G19470,4
AT1G19750,4
AT1G19790,4
AT1G19980,4
AT1G20015,4
AT1G20330,4
AT1G20480,4
AT1G20580,4
AT1G20650,4
AT1G20720,4
AT1G20816,4
AT1G20823,4
AT1G21000,4
AT1G21050,4
AT1G21140,4
AT1G21528,4
AT1G21695,4
AT1G21910,4
AT1G22190,4
AT1G22260,4
AT1G22270,4
AT1G22600,4
AT1G22650,4
AT1G22690,4
AT1G22780,4
AT1G22960,4
AT1G23000,4
AT1G23110,4
AT1G23290,4
AT1G23300,4
AT1G23480,4
AT1G23580,4
AT1G24068,4
AT1G24310,4
AT1G24330,4
AT1G24420,4
AT1G24430,4
AT1G24540,4
AT1G25150,4
AT1G25520,4
AT1G25682,4
AT1G26140,4
AT1G26218,4
AT1G26233,4
AT1G26515,4
AT1G26761,4
AT1G26790,4
AT1G26815,4
AT1G26880,4
AT1G26960,4
AT1G27380,4
AT1G27400,4
AT1G27410,4
AT1G27435,4
AT1G27950,4
AT1G28010,4
AT1G28130,4
AT1G28290,4
AT1G28395,4
AT1G28440,4
AT1G28670,4
AT1G28815,4
AT1G28830,4
AT1G28980,4
AT1G29250,4
AT1G29430,4
AT1G29440,4
AT1G29500,4
AT1G29710,4
AT1G29830,4
AT1G31485,4
AT1G31540,4
AT1G31760,4
AT1G31920,4
AT1G31950,4
AT1G32190,4
AT1G32270,4
AT1G32320,4
AT1G32540,4
AT1G32583,4
AT1G33140,4
AT1G33240,4
AT1G33440,4
AT1G33500,4
AT1G33700,4
AT1G33760,4
AT1G33960,4
AT1G34030,4
AT1G34580,4
AT1G35140,4
AT1G35183,4
AT1G35350,4
AT1G35625,4
AT1G35660,4
AT1G35910,4
AT1G36320,4
